id,English,,Portuguese,,Danish,,German,,Spanish,,French,,Italian,,Dutch,
663,ferriprive,anaemic,ferropénico,que tem falta de ferro,ferriprivus,jernmangel,ferripriv,auf Eisenmangel beruhend,ferriprivo,que carece de hierro,ferriprive,provoqué par le manque de fer,carenza di ferro,carenza di ferro,ferriprief,gekenmerkt door ijzergebrek
664,fertility,fertility,fertilidade,fertilidade,fertilitet,forplantningsevne,Fertilität,Fruchtbarkeit,fertilidad,fertilidad,fécondité,fécondité,fecondità,fertilità,fertiliteit,vruchtbaarheid
665,fibrillation,twitch,fibrilação,contracções desordenadas e ineficientes do coração,fibrillatio,flimren;korte;skiftende muskelkontraktioner i enkelte trådbundter,Fibrillation,ungeordnete Tätigkeit von Einzel-Muskelfasern z.B. des,fibrilación,contracciones desordenadas e ineficaces del corazón,fibrillation,contractions cardiaques rapides et irrégulières,fibrillazione,alterazione delle contrazioni dei muscoli,fibrillatie,woeling
666,fibrin,a blood-clotting protein,fibrina,fibrina,fibrin,æggehvidestof;som medvirker til blodets koagulation,Fibrin,Blutfaserstoff,fibrina,fibrina,fibrine,agent important de la coagulation,fibrina,sostanza di proteine che si forma nel sangue,fibrine,vezelstof in het bloed
667,fibrinolytic,fibronolytic,fibrinolítico,que dissolve a fibrina,fibrinolytisk,fibrinopløsende,fibronolytisch,Fibrinolyse erzeugend,fibrinolítico,que disuelve la fibrina,fibrinolytique,qui se rapporte à la fibrinolyse,fibrinolitico,relativo alla disoluzione di grumi di sangue,fibrinolytisch,wat eiwit in gestold bloed oplost
668,fibrosis,fibrous tissue formation,fibrose,aumento anormal do tecido conjuntivo,fibrose,bindevævsforhærdning af organ,Fibrose,krankhafte Bindegewebsvermehrung in Organen,fibrosis,aumento anormal de tejido conjuntivo,fibrose,transformation fibreuse d'un tissu,fibrosi,aumento delle connessioni di un tessutoorgano,fibrose,woekering van bindweefsel
669,filmcoated,filmcoated,camada superficial,,TU,TU,photobeschichtet,photobeschichtet,,,couvert d'une pellicule,,ricoperto,rivestito,filmcoated,met een doorschijnend omhulsel
670,filtration,filtration,filtração,filtragem;filtramento,filtration,filtrering,Filtration,Filtration,filtración,filtración,filtration,filtration;filtrage,filtrazione,filtrazione,filtratie,filtering
671,firstpass,first barrier,primeira passagem,primeiro passo,TU,TU,Firstpass-Effekt,-,de primer paso,de primer paso,,,primo-passaggio,primo-passaggio,first-pass,eerste hindernis
672,fissure,groove,fissura,fenda,fissur,spalte,Fissur,Einschnitt,fisura,hendedura;cisura;surco,fissure,1) fêlure - 2) crevasse - 3) fente anatomique,fessura,fessura,fissuur,kloof
673,fistula,abnormal passage,fístula,comunicação anormal entre dois órgãos entre si ou com o exterior,fistel,rørformet kanal fra  legemsoverflade til fokus i dybden,Fistel,Fistel,fístula,comunicación anormal entre dos órganos entre sí o con el exterior,fistule,communication anormale entre un organe et la surface du corps;entre deux organes,fistola,soluzione continua di comunicazione,fistel,pijpzweer
674,fixation,fixation,fixação,fixação;detenção do desenvolvimento da personalidade numa determinada etapa;apego a outra pessoa,fiksation,binding,Fixation,Fixierung,fijación,fijación;detención del desarrollo de la personalidad en determinada etapa;apego sofocante a otra persona,fixation,1) fixation - 2) obsession,fissazione,fissazione,fixatie,vasthechting
675,flaccid,soft,flácido,frouxo;mole;languido,slap,slap,flaccidus,schlaff,fláccido,laxo;flojo;blando;débil,flaccide,flasque;mou,flaccido,mollo,flaccidus,slap
676,flatulence,wind,flatulência,gases no estômago ou no intestino;ventosidade;aerenterectasia,flatulens,luftudspiling,Flatuleszenz,Blähungen,flatulencia,presencia abundante de aire en el estómago o el intestino,flatulence,accumulation d'air dans l'estomac ou les intestins,flatulenza,eccessiva formazione di gas nello stomaco ed emissione,flatulentie,opgeblazenheid
677,phlegmon,phlegm,fleimão,inflamação difusa,phlegmone,udbredt betændelse af huden og vævet under huden med tilbøjelighed til bylddannelse,Phlegmone,eitrige Zellgewebsentzündung,flemón,inflamación difusa,phlegmon,inflammation aiguë de la peau,flemmone,infiammazione dei tessuti molli con pus,flegmone,weefselontsteking met ettering
678,flexion,displacement of the womb,flexão,flexão,fleksion,bøjning,Flexion,Beugung,flexión,flexión,flexion,flexion,flessione,flessione,flexie,buiging
679,fluor albus,vaginal discharge,corrimento,flúor branco,fluor albus,hvidt udflåd fra skeden,Fluor albus,Weißfluß,fluor albus,flujo blanco;pérdidas blancas,leucorrhée,pertes blanches,leucorrea,perdita bianca degli organi femminili,fluor albus,witte vloed
680,flush,flush,rubor,ruborização,rødmen,rødmen,Flush,Hautröte,rubor,enrojecimiento,bouffée de chaleur,bouffée de chaleur,arrossamento,arrossamento,flush,blozen
681,flutter,flutter,tremulação,efeito ondulatório;flutuação,flutter,flagren;hurtig forkammeraktion,Flattern,Flattern,flúter,aleteo del corazón,flutter,trouble du rythme cardiaque,pulsazione rapida,pulsazione rapida,fladderen; flutter,al te snelle beweging van het hart
682,foetal,foetal,fetal,relativo ao feto,føtal,hørende til fosteret,fetal,den Fetus betreffend,fetal,relativo al feto,foetal,relatif au foetus;du foetus,fetale,relativo al feto,foetaal,met betrekking tot het ongeboren kind
683,foetoplacental,fetus and placenta-related,fetoplacentário,relativo ao intercâmbio entre o feto e placenta,føtoplacental,hørende til foster og moderkage,fetoplazentar,übertritt von fetalem Blut in den mütterlichen Kreislauf,fetoplacentario,relativo a los intercambios entre feto y placenta,foeto-placentaire,qui se rapporte au foetus et au placenta,fetoplacentale,relativo al feto ed alla placenta,foetoplacentaal,met betrekking tot ongeboren kind en moederkoek
684,foetotoxic,toxic to the fetus,fetotóxico,tóxico para o fetoembrião,føtotoksisk,giftig for fosteret,fetotoxisch,Vergiftung in der fetalen Entwicklungsphase,,venenoso para el feto,foeto-toxique,toxique pour le foetus,fetotossico,nocivo per il feto,foetotoxisch,schadelijk voor het ongeboren kind
685,folliculitis,follicle inflammation,foliculite,inflamação de um ou mais folículos pilosos,folliculitis,betændelse i hårsæk,Follikulitis,Entzündung des Follikels,foliculitis,inflamación de uno o más folículos pilosos,folliculite,inflammation du cuir chevelu,follicolite,infiammazione all'impiantazione dei peli,folliculitis,ontsteking van de haarzakjes
686,fontanelle,soft spot,fontanela,molarinha do recém-nascido,fontanella,bløde;ikke forbenede partier på fosters og nyfødtes kranium,Fontanelle,Fontanelle,fontanela,espacio no osificado del cráneo en el recién nacido,fontanelle,fontanelle,fontanella,formazioni di membrane che collegano le ossa del cranio,fontanel,nog niet verbeende plek in de schedel
687,fraction,fraction,fracção,número fraccionário  quebrado;porção;parte,fraktion,fraktion,Fraktion,bei einem Trenn- od. Reinigungsverfahren gewonnenes,fracción,parte de un todo;cociente entre dos cantidades,fraction,fraction,frazione,frazione,fractie,deel
688,fracture,fracture,fractura,fractura;rotura;quebra,fraktur,knoglebrud,Fraktur,Bruch,fractura,fractura,fracture,fracture,frattura,frattura,fractuur,beenbreuk
689,frequency,frequency,frequência,número de períodos,frekvens,frekvens,Frequenz,Häufigkeit,frecuencia,frecuencia,fréquence,fréquence,frequenza,frequenza,frequentie,aantal keren per tijdseenheid
690,frigidity,frigidity,frigidez,insensibilidade sexual;anafrodisia,frigiditet,frigiditet;manglende eller ringe kønsdrift,Frigidität,Frigidität,frigidez,insensibilidad sexual,frigidité,frigidité,frigidità,frigidità,frigiditeit,geslachtelijke koelheid
691,function,function,função,função,funktion,funktion,Funktion,Funktion,función,función,fonction,fonction,funzione,funzione,functie,taak
692,fundamental,fundamental,fundamental,fundamental,fundamental,grundlæggende,fundamental,fundamental,fundamental,fundamental,fondamental,fondamental,fondamentale,fondamentale,fundamenteel,van het grootste belang
693,fungicide,fungicide,fungicida,destruição de fungos,fungicid,afsvampningsmiddel,Fungizid,pilzabtötender Stoff,fungicida,sustancia que destruye los hongos,fongicide,qui détruit les champignons,fungicida,che uccide i funghi,fungicidum,stof die schimmels doodt
694,fungistatic,fungus growth-preventing,fungistático,impede a multiplicação de fungos,fungistatisk,svampehæmmende,fungistatisch,das Pilzwachstum hemmend,fungistático,que inhibe el crecimiento de los hongos,fongistatique,qui empêche le développement des champignons,fungistatico,che impedisce la crescita di funghi,fungistatisch,schimmelwerend
695,fungus,fungus,fungo,fungo;tumor em forma de fungo,fungus,svamp,Fungus,Pilz,fungus,hongo;tumor en forma de hongo,fongus,champignon,fungo,fungo,fungus,schimmel
696,furunculosis,boils,furunculose,aparecimento de furúnculos,furunkulose,samtidig masseoptræden af betændte talgkirtler i huden,Furunkulose,über bestimmte Körerabschnitte ausgebreitete Furunkel,furunculosis,aparición de furúnculos,furonculose,apparition  de plusieurs furoncles,foruncolosi,insieme di foruncoli che si sviluppano assieme,furunculose,steenpuistziekte
697,galactorrhoea,excessive milk production,galactorreia,eliminação espontânea do leite,galaktorré,mælkeflåd,Galactorrhoe,Milchfluß,galactorrea,eliminación espontánea de leche por el pezón,galactorrhée,sécrétion excessive de lait chez une femme,galattorrea,flusso di latte spontaneo od eccessivo,galactorroe,melkvloed
698,galenical,relating to Galen's methods,galénico,preparado a partir de drogas vegetais em vez de substâncias químicas,galenikagalenikal,angående Galen;angående brugsfærdige sammensatte lægemidler,galenisch,Zubereitungsformen von Arzneistoffen betreffend,galénico,preparado a partir de drogas vegetales en vez de sustancias químicas,galénique,la présentation des médicaments,galenico,preparato volta a volta dal farmacista su ricetta medica,galenisch,natuurlijk
699,ganglion,knot,gânglio,caroço,ganglie,nerve- eller seneknude,Ganglion,Überbein,ganglio,engrosamiento localizado en un nervio o vaso linfático,ganglion,ganglion,ganglio,ganglio,ganglion,zenuwknoop
700,gangrene,gangrene,gangrena,grangrena;esfacelo,gangræn,koldbrand,Gangrän,Brand,gangrena,gangrena,gangrène,gangrène,gangrena,gangrena,gangreen,koudvuur
701,gastralgia,colic,gastralgia,dor do estômago;gastrodinia;cardialgia,gastralgi,mavesmerter,Gastralgie,Magenkrampf,gastralgia,dolor de estómago,gastralgie,douleur vive à l'estomac,gastralgia,dolore di stomaco,gastralgie,maagkramp
702,gastritis,upset stomach,gastrite,catarro gástrico,gastritis,mavekatar,Gastritis,Magenschleimhautentzündung,gastritis,inflamación del estómago,gastrite,inflammation   de l'estomac,gastrite,gastrite,gastritis,maagwandontsteking
703,gastroduodenal,stomach and gut-related,gastroduodenal,relativo ao estômago e ao intestino delgado,gastroduodenal,angående mavesækken og tolvfingertarmen,gastroduodenal,den Magen und Zwölffingerdarm betreffend,gastroduodenal,relativo al estómago y al intestino delgado simultáneamente,gastro- duodénal,qui se rapporte à l'estomac et au duodénum,gastroduodenale,relativo allo stomaco ed al duodeno,gastro-duodenaal,met betrekking tot maag en twaalfvingerige darm
704,gastroenteritis,gastric flu,gastrenterite,inflamação do estômago e do intestino delgado,gastroenteritis,mave-tarmkatar,Gastroenteritis,Schleimhautentzündung des Magens und Dünndarms,gastroenteritis,inflamación del estómago y del intestino delgado,gastro-entérite,inflammation de l'estomac et de l'intestin,gastroenterite,infiammazione simultanea dello stomaco e dell'intestino,gastro-enteritis,ontsteking van maag en darm
705,gastrointestinal,gastro-intestinal,gastrintestinal,relativo ao estômago e aos intestinos,gastrointestinal,mavetarm-,gastrointestinal,Magen und Dünndarm betreffend,gastrointestinal,relativo al estómago y a los intestinos,gastro-intestinal,qui se rapporte à l'estomac et aux intestins,gastrointestinale,comune allo stomaco ed all'intestino,gastro-intestinaal,met betrekking tot maag en darm
706,gastrooesophageal,stomach and gullet-related,gastro-esofágico,relativo ao estômago e ao esófago,gastrooesophageus,angående mavesæk og spiserør,gastroösophageal,Magen und Speiseröhre betreffend,gastroesofágico,relativo al estómago y al esófago,gastro-oesophagien,qui se rapporte à l'estomac et à l'oesophage,gastrosofageo,comune allo stomaco ed all'esofago,gastro-oesofageaal,met betrekking tot maag en slokdarm
707,genetic,genetic,genético,relativo aos genes,genetisk,genetisk,genetisch,genetisch,genético,relativo a los genes o a la herencia,genetico,genetico,genetisch,met betrekking tot de erfelijkheid
708,genital,genital,genital,relativo aos órgãos sexuais,genital,køns-,genital,die Geschlechtsorgane betreffend,genital,relativo a los órganos sexuales,génital,relatif à la reproduction,genitale,genitale,genitaal,met betrekking tot de geslachtsorganen
709,genitourinary,genital and urinary organ-related,geniturinário,relativo aos órgãos genitais e urinários,geniturinær,angående køns- og urinorganerne,uragenital,die Harn- und Geschlechtsorgane betreffend,genitourinario,relativo a los órganos genitales y urinarios,génito-urinaire,qui se rapporte à l'appareil génital et urinaire,genitourinario,relativo all'apparato genitale ed quello urinario,genito-urinair,met betrekking tot de geslachtsorganen en de urinewegen
710,geriatric,geriatric,geriátrico,relativo à medicina que trata as doenças dos velhos,geriatrisk,alderdoms-,geriatrisch,die Altersheilkunde betreffend,geriátrico,relativo a la medicina que trata de las enfermedades de la vejez,gériatrique,relatif à la gériatrie,geriatrico,relativo alle malattie della vecchiaia,geriatrisch,met betrekking tot de bejaardenzorg
